"top_code","top_code2","top_title","cip_code","cip_code2","cip_title","cip_note"
"010100","0101.00","Agriculture Technology and Sciences, General","010102","01.0102","Agribusiness/Agricultural Business Operations.",""
"010200","0102.00","Animal Science","010302","01.0302","Animal/Livestock Husbandry and Production.",""
"010200","0102.00","Animal Science","010505","01.0505","Animal Training.",""
"010210","0102.10","Veterinary Technician (Licensed)","018201","01.8201","Veterinary Administrative Services, General.","New 2020 CIP code"
"010210","0102.10","Veterinary Technician (Licensed)","018202","01.8202","Veterinary Office Management/Administration.","New 2020 CIP code"
"010210","0102.10","Veterinary Technician (Licensed)","018203","01.8203","Veterinary Reception/Receptionist.","New 2020 CIP code"
"010210","0102.10","Veterinary Technician (Licensed)","018204","01.8204","Veterinary Administrative/Executive Assistant and Veterinary Secretary.","New 2020 CIP code"
"010210","0102.10","Veterinary Technician (Licensed)","018301","01.8301","Veterinary/Animal Health Technology/Technician and Veterinary Assistant.","Moved from 51.0808"
"010220","0102.20","Artificial Inseminator (Licensed)","010302","01.0302","Animal/Livestock Husbandry and Production.",""
"010220","0102.20","Artificial Inseminator (Licensed)","018301","01.8301","Veterinary/Animal Health Technology/Technician and Veterinary Assistant.","Moved from 51.0808"
"010230","0102.30","Dairy Science","010306","01.0306","Dairy Husbandry and Production.",""
"010240","0102.40","Equine Science","010307","01.0307","Horse Husbandry/Equine Science and Management.",""
"010240","0102.40","Equine Science","010509","01.0509","Farrier Science.","New 2020 CIP code"
"010300","0103.00","Plant Science","010304","01.0304","Crop Production.",""
"010310","0103.10","Agricultural Pest Control Adviser and Operator (Licensed)","011105","01.1105","Plant Protection and Integrated Pest Management.",""
"010400","0104.00","Viticulture, Enology and Wine Business","011003","01.1003","Brewing Science.","New 2020 CIP code"
"010400","0104.00","Viticulture, Enology and Wine Business","011004","01.1004","Viticulture and Enology.","Moved from 01.0309"
"010400","0104.00","Viticulture, Enology and Wine Business","011005","01.1005","Zymology/Fermentation Science.","New 2020 CIP code"
"010400","0104.00","Viticulture, Enology and Wine Business","120510","12.0510","Wine Steward/Sommelier.",""
"010900","0109.00","Horticulture","010601","01.0601","Applied Horticulture/Horticulture Operations, General.",""
"010910","0109.10","Landscape Design and Maintenance","010207","01.0207","Irrigation Management Technology/Technician.","New 2020 CIP code"
"010910","0109.10","Landscape Design and Maintenance","010605","01.0605","Landscaping and Groundskeeping.",""
"010920","0109.20","Floriculture / Floristry","010608","01.0608","Floriculture/Floristry Operations and Management.",""
"010930","0109.30","Nursery Technology","010606","01.0606","Plant Nursery Operations and Management.",""
"010940","0109.40","Turfgrass Technology","010607","01.0607","Turf and Turfgrass Management.",""
"010940","0109.40","Turfgrass Technology","310302","31.0302","Golf Course Operation and Grounds Management.",""
"011200","0112.00","Agriculture Business, Sales and Service","010102","01.0102","Agribusiness/Agricultural Business Operations.",""
"011200","0112.00","Agriculture Business, Sales and Service","010104","01.0104","Farm/Farm and Ranch Management.",""
"011200","0112.00","Agriculture Business, Sales and Service","010105","01.0105","Agricultural/Farm Supplies Retailing and Wholesaling.",""
"011200","0112.00","Agriculture Business, Sales and Service","010106","01.0106","Agricultural Business Technology/Technician.","Added and New Title"
"011300","0113.00","Food Processing and Related Technologies","010401","01.0401","Agricultural and Food Products Processing.",""
"011300","0113.00","Food Processing and Related Technologies","011002","01.1002","Food Technology and Processing.",""
"011300","0113.00","Food Processing and Related Technologies","011003","01.1003","Brewing Science.","New 2020 CIP code"
"011300","0113.00","Food Processing and Related Technologies","011005","01.1005","Zymology/Fermentation Science.","New 2020 CIP code"
"011400","0114.00","Forestry","030501","03.0501","Forestry, General.",""
"011400","0114.00","Forestry","030509","03.0509","Wood Science and Wood Products/Pulp and Paper Technology/Technician.","Added and New Title"
"011400","0114.00","Forestry","030511","03.0511","Forest Technology/Technician.",""
"011400","0114.00","Forestry","030599","03.0599","Forestry, Other.",""
"011500","0115.00","Natural Resources","010308","01.0308","Agroecology and Sustainable Agriculture.",""
"011500","0115.00","Natural Resources","030101","03.0101","Natural Resources/Conservation, General.",""
"011510","0115.10","Parks and Outdoor Recreation","310301","31.0301","Parks, Recreation and Leisure Facilities Management, General.",""
"011520","0115.20","Wildlife and Fisheries","030601","03.0601","Wildlife, Fish and Wildlands Science and Management.",""
"011600","0116.00","Agricultural Power Equipment Technology","010201","01.0201","Agricultural Mechanization, General.",""
"011600","0116.00","Agricultural Power Equipment Technology","010204","01.0204","Agricultural Power Machinery Operation.",""
"011600","0116.00","Agricultural Power Equipment Technology","010205","01.0205","Agricultural Mechanics and Equipment/Machine Technology/Technician.","New Title"
"019900","0199.00","Other Agriculture and Natural Resources","011399","01.1399","Agriculture/Veterinary Preparatory Programs, Other.","New 2020 CIP code"
"019900","0199.00","Other Agriculture and Natural Resources","019999","01.9999","Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.","New Title"
"020100","0201.00","Architecture and Architectural Technology","040200","04.0200","Pre-Architecture Studies.","New 2020 CIP code"
"020100","0201.00","Architecture and Architectural Technology","040202","04.0202","Architectural Design.","New 2020 CIP code"
"020100","0201.00","Architecture and Architectural Technology","040401","04.0401","Environmental Design/Architecture.",""
"020100","0201.00","Architecture and Architectural Technology","040901","04.0901","Architectural Technology/Technician.",""
"020100","0201.00","Architecture and Architectural Technology","150101","15.0101","Architectural Engineering Technologies/Technicians.","New Title"
"020110","0201.10","Landscape Architecture (Transfer)","040601","04.0601","Landscape Architecture.",""
"029900","0299.00","Other Architecture and Environmental Design","040299","04.0299","Architecture, Other.","New 2020 CIP code"
"029900","0299.00","Other Architecture and Environmental Design","049999","04.9999","Architecture and Related Services, Other.",""
"030100","0301.00","Environmental Science","030104","03.0104","Environmental Science.",""
"030100","0301.00","Environmental Science","303501","30.3501","Climate Science.","New 2020 CIP code"
"030100","0301.00","Environmental Science","304101","30.4101","Environmental Geosciences.","New 2020 CIP code"
"030200","0302.00","Environmental Studies","030103","03.0103","Environmental Studies.",""
"030200","0302.00","Environmental Studies","030209","03.0209","Energy and Environmental Policy.","New 2020 CIP code"
"030200","0302.00","Environmental Studies","304401","30.4401","Geography and Environmental Studies.","New 2020 CIP code"
"030300","0303.00","Environmental Technology","150507","15.0507","Environmental/Environmental Engineering Technology/Technician.","New Title"
"030300","0303.00","Environmental Technology","150508","15.0508","Hazardous Materials Management and Waste Technology/Technician.",""
"039900","0399.00","Environmental Sciences and Technologies, Other","039999","03.9999","Natural Resources and Conservation, Other.",""
"040100","0401.00","Biology, General","260101","26.0101","Biology/Biological Sciences, General.",""
"040200","0402.00","Botany, General","260301","26.0301","Botany/Plant Biology.",""
"040300","0403.00","MicroBiology","260499","26.0499","Cell/Cellular Biology and Anatomical Sciences, Other.",""
"040300","0403.00","MicroBiology","260502","26.0502","Microbiology, General.",""
"040700","0407.00","Zoology, General","260701","26.0701","Zoology/Animal Biology.",""
"040800","0408.00","Natural History","261303","26.1303","Evolutionary Biology.",""
"041000","0410.00","Anatomy and Physiology","260901","26.0901","Physiology, General.",""
"043000","0430.00","Biotechnology and Biomedical Technology","150401","15.0401","Biomedical Technology/Technician.",""
"043000","0430.00","Biotechnology and Biomedical Technology","261104","26.1104","Computational Biology.",""
"043000","0430.00","Biotechnology and Biomedical Technology","410101","41.0101","Biology/Biotechnology Technology/Technician.","New Title"
"049900","0499.00","Other Biological Sciences","269999","26.9999","Biological and Biomedical Sciences, Other.",""
"050100","0501.00","Business and Commerce, General","307102","30.7102","Business Analytics.","New 2020 CIP code"
"050100","0501.00","Business and Commerce, General","520101","52.0101","Business/Commerce, General.",""
"050100","0501.00","Business and Commerce, General","520201","52.0201","Business Administration and Management, General.","Added"
"050200","0502.00","Accounting","520301","52.0301","Accounting.",""
"050200","0502.00","Accounting","520302","52.0302","Accounting Technology/Technician and Bookkeeping.",""
"050210","0502.10","Tax Studies","521601","52.1601","Taxation.",""
"050400","0504.00","Banking and Finance","520803","52.0803","Banking and Financial Support Services.",""
"050400","0504.00","Banking and Finance","520810","52.0810","Financial Risk Management.","New 2020 CIP code"
"050400","0504.00","Banking and Finance","520801","52.0801","Finance, General.","Added"
"050500","0505.00","Business Administration","307102","30.7102","Business Analytics.","New 2020 CIP code"
"050500","0505.00","Business Administration","520201","52.0201","Business Administration and Management, General.",""
"050600","0506.00","Business Management","307102","30.7102","Business Analytics.","New 2020 CIP code"
"050600","0506.00","Business Management","520201","52.0201","Business Administration and Management, General.",""
"050600","0506.00","Business Management","520701","52.0701","Entrepreneurship/Entrepreneurial Studies.",""
"050630","0506.30","Management Development and Supervision","520204","52.0204","Office Management and Supervision.",""
"050630","0506.30","Management Development and Supervision","520205","52.0205","Operations Management and Supervision.",""
"050640","0506.40","Small Business and Entrepreneurship","520701","52.0701","Entrepreneurship/Entrepreneurial Studies.",""
"050640","0506.40","Small Business and Entrepreneurship","520703","52.0703","Small Business Administration/Management.",""
"050640","0506.40","Small Business and Entrepreneurship","520704","52.0704","Social Entrepreneurship.","New 2020 CIP code"
"050650","0506.50","Retail Store Operations and Management","520212","52.0212","Retail Management.",""
"050650","0506.50","Retail Store Operations and Management","521803","52.1803","Retailing and Retail Operations.",""
"050800","0508.00","International Business and Trade","521101","52.1101","International Business/Trade/Commerce.",""
"050900","0509.00","Marketing and Distribution","521401","52.1401","Marketing/Marketing Management, General.",""
"050900","0509.00","Marketing and Distribution","521404","52.1404","Digital Marketing.","New 2020 CIP code"
"050900","0509.00","Marketing and Distribution","521801","52.1801","Sales, Distribution and Marketing Operations, General.",""
"050910","0509.10","Advertising","090903","09.0903","Advertising.",""
"050920","0509.20","Purchasing","520202","52.0202","Purchasing, Procurement/Acquisitions and Contracts Management.",""
"050920","0509.20","Purchasing","521802","52.1802","Merchandising and Buying Operations.",""
"050940","0509.40","Sales and Salesmanship","521804","52.1804","Selling Skills and Sales Operations.",""
"050960","0509.60","Display","521899","52.1899","General Merchandising, Sales and Related Marketing Operations, Other.",""
"050970","0509.70","E-Commerce (Business emphasis)","520208","52.0208","E-Commerce/Electronic Commerce.",""
"050970","0509.70","E-Commerce (Business emphasis)","521404","52.1404","Digital Marketing.","New 2020 CIP code"
"051000","0510.00","Logistics and Materials Transportation","499999","49.9999","Transportation and Materials Moving, Other.",""
"051000","0510.00","Logistics and Materials Transportation","520203","52.0203","Logistics, Materials and Supply Chain Management.",""
"051100","0511.00","Real Estate","521501","52.1501","Real Estate.",""
"051110","0511.10","Escrow","521501","52.1501","Real Estate.",""
"051200","0512.00","Insurance","520215","52.0215","Risk Management.","New 2020 CIP code"
"051200","0512.00","Insurance","521701","52.1701","Insurance.",""
"051400","0514.00","Office Technology/Office Computer Applications","110601","11.0601","Data Entry/Microcomputer Applications, General.",""
"051400","0514.00","Office Technology/Office Computer Applications","520401","52.0401","Administrative Assistant and Secretarial Science, General.",""
"051400","0514.00","Office Technology/Office Computer Applications","520407","52.0407","Business/Office Automation/Technology/Data Entry.",""
"051400","0514.00","Office Technology/Office Computer Applications","520408","52.0408","General Office Occupations and Clerical Services.",""
"051410","0514.10","Legal Office Technology","220301","22.0301","Legal Administrative Assistant/Secretary.",""
"051420","0514.20","Medical Office Technology","510710","51.0710","Medical Office Assistant/Specialist.",""
"051420","0514.20","Medical Office Technology","510712","51.0712","Medical Reception/Receptionist.",""
"051420","0514.20","Medical Office Technology","510716","51.0716","Medical Administrative/Executive Assistant and Medical Secretary.",""
"051430","0514.30","Court Reporting","220303","22.0303","Court Reporting and Captioning/Court Reporter.","New Title"
"051430","0514.30","Court Reporting","220305","22.0305","Scopist.","New 2020 CIP code"
"051440","0514.40","Office Management","520204","52.0204","Office Management and Supervision.",""
"051600","0516.00","Labor and Industrial Relations","521002","52.1002","Labor and Industrial Relations.",""
"051800","0518.00","Customer Service","520411","52.0411","Customer Service Support/Call Center/Teleservice Operation.",""
"059900","0599.00","Other Business and Management","520299","52.0299","Business Administration, Management and Operations, Other.",""
"059900","0599.00","Other Business and Management","529999","52.9999","Business, Management, Marketing and Related Support Services, Other.",""
"060100","0601.00","Media and Communications, General","090100","09.0100","Communication, General.",""
"060100","0601.00","Media and Communications, General","090909","09.0909","Communication Management and Strategic Communications.","New 2020 CIP code"
"060200","0602.00","Journalism","090401","09.0401","Journalism.",""
"060200","0602.00","Journalism","090405","09.0405","Business and Economic Journalism.","New 2020 CIP code"
"060200","0602.00","Journalism","090406","09.0406","Cultural Journalism.","New 2020 CIP code"
"060200","0602.00","Journalism","090407","09.0407","Science/Health/Environmental Journalism.","New 2020 CIP code"
"060400","0604.00","Radio and Television","090701","09.0701","Radio and Television.",""
"060400","0604.00","Radio and Television","100202","10.0202","Radio and Television Broadcasting Technology/Technician.","New Title"
"060410","0604.10","Radio","090701","09.0701","Radio and Television.",""
"060410","0604.10","Radio","100202","10.0202","Radio and Television Broadcasting Technology/Technician.","New Title"
"060420","0604.20","Television (including combined TV/Film/Video)","090701","09.0701","Radio and Television.",""
"060420","0604.20","Television (including combined TV/Film/Video)","100202","10.0202","Radio and Television Broadcasting Technology/Technician.","New Title"
"060430","0604.30","Broadcast Journalism","090402","09.0402","Broadcast Journalism.",""
"060430","0604.30","Broadcast Journalism","100202","10.0202","Radio and Television Broadcasting Technology/Technician.","New Title"
"060600","0606.00","Public Relations","090900","09.0900","Public Relations, Advertising and Applied Communication.",""
"060600","0606.00","Public Relations","090909","09.0909","Communication Management and Strategic Communications.","New 2020 CIP code"
"060700","0607.00","Technical Communication","231303","23.1303","Professional, Technical, Business and Scientific Writing.",""
"061000","0610.00","Mass Communications","090102","09.0102","Mass Communication/Media Studies.",""
"061000","0610.00","Mass Communications","100105","10.0105","Communications Technology/Technician.",""
"061200","0612.00","Film Studies","500601","50.0601","Film/Cinema/Media Studies.","New Title"
"061210","0612.10","Film History and Criticism","500601","50.0601","Film/Cinema/Media Studies.","New Title"
"061220","0612.20","Film Production","500602","50.0602","Cinematography and Film/Video Production.",""
"061220","0612.20","Film Production","500699","50.0699","Film/Video and Photographic Arts, Other.",""
"061400","0614.00","Digital Media","090702","09.0702","Digital Communication and Media/Multimedia.",""
"061400","0614.00","Digital Media","100303","10.0303","Prepress/Desktop Publishing and Digital Imaging Design.",""
"061400","0614.00","Digital Media","500102","50.0102","Digital Arts.",""
"061410","0614.10","Multimedia","100304","10.0304","Animation, Interactive Technology, Video Graphics and Special Effects.",""
"061420","0614.20","Electronic Game Design","100304","10.0304","Animation, Interactive Technology, Video Graphics and Special Effects.",""
"061420","0614.20","Electronic Game Design","110204","11.0204","Computer Game Programming.","New 2020 CIP code"
"061420","0614.20","Electronic Game Design","500411","50.0411","Game and Interactive Media Design.",""
"061430","0614.30","Website Design and Development","110801","11.0801","Web Page, Digital/Multimedia and Information Resources Design.","New Title"
"061440","0614.40","Animation","100304","10.0304","Animation, Interactive Technology, Video Graphics and Special Effects.",""
"061450","0614.50","Desktop Publishing","100303","10.0303","Prepress/Desktop Publishing and Digital Imaging Design.",""
"061460","0614.60","Computer Graphics and Digital Imagery","110803","11.0803","Computer Graphics.",""
"061460","0614.60","Computer Graphics and Digital Imagery","110899","11.0899","Computer Software and Media Applications, Other.",""
"069900","0699.00","Other Media and Communications","099999","09.9999","Communication, Journalism and Related Programs, Other.",""
"070100","0701.00","Information Technology, General","110101","11.0101","Computer and Information Sciences, General.",""
"070100","0701.00","Information Technology, General","110199","11.0199","Computer and Information Sciences,  Other.",""
"070100","0701.00","Information Technology, General","110201","11.0201","Computer Programming/Programmer, General.",""
"070100","0701.00","Information Technology, General","151202","15.1202","Computer/Computer Systems Technology/Technician.","New Title"
"070200","0702.00","Computer Information Systems","110101","11.0101","Computer and Information Sciences, General.",""
"070200","0702.00","Computer Information Systems","110103","11.0103","Information Technology.",""
"070200","0702.00","Computer Information Systems","110501","11.0501","Computer Systems Analysis/Analyst.",""
"070200","0702.00","Computer Information Systems","151202","15.1202","Computer/Computer Systems Technology/Technician.","New Title"
"070200","0702.00","Computer Information Systems","307001","30.7001","Data Science, General.","New 2020 CIP code"
"070200","0702.00","Computer Information Systems","307101","30.7101","Data Analytics, General.","New 2020 CIP code"
"070200","0702.00","Computer Information Systems","307103","30.7103","Data Visualization.","New 2020 CIP code"
"070210","0702.10","Software Applications","110301","11.0301","Data Processing and Data Processing Technology/Technician.",""
"070210","0702.10","Software Applications","110601","11.0601","Data Entry/Microcomputer Applications, General.",""
"070210","0702.10","Software Applications","110801","11.0801","Web Page, Digital/Multimedia and Information Resources Design.","New Title"
"070210","0702.10","Software Applications","110899","11.0899","Computer Software and Media Applications, Other.",""
"070600","0706.00","Computer Science (Transfer)","110101","11.0101","Computer and Information Sciences, General.",""
"070600","0706.00","Computer Science (Transfer)","110701","11.0701","Computer Science.",""
"070600","0706.00","Computer Science (Transfer)","303001","30.3001","Computational Science.",""
"070600","0706.00","Computer Science (Transfer)","307001","30.7001","Data Science, General.","New 2020 CIP code"
"070600","0706.00","Computer Science (Transfer)","307101","30.7101","Data Analytics, General.","New 2020 CIP code"
"070600","0706.00","Computer Science (Transfer)","307103","30.7103","Data Visualization.","New 2020 CIP code"
"070700","0707.00","Computer Software Development","110201","11.0201","Computer Programming/Programmer, General.",""
"070700","0707.00","Computer Software Development","151204","15.1204","Computer Software Technology/Technician.",""
"070700","0707.00","Computer Software Development","307001","30.7001","Data Science, General.","New 2020 CIP code"
"070700","0707.00","Computer Software Development","307101","30.7101","Data Analytics, General.","New 2020 CIP code"
"070710","0707.10","Computer Programming","110201","11.0201","Computer Programming/Programmer, General.",""
"070710","0707.10","Computer Programming","110202","11.0202","Computer Programming, Specific Applications.",""
"070710","0707.10","Computer Programming","110203","11.0203","Computer Programming, Vendor/Product Certification.",""
"070710","0707.10","Computer Programming","110204","11.0204","Computer Game Programming.","New 2020 CIP code"
